ID_Registro,Pais_Origen,Altitud_km,Duracion_Vuelo_h,Velocidad_Viento_kmh,Tecnologia_Detectada,Cercania_Base_Militar_km,Fecha_Avistamiento,Indice_Maniobra
REG-1293,Corea del Norte,26.25,26.8,86.5,Imagen Óptica,19.11,2023-01-06,47.58
REG-1294,EE.UU.,23.79,58.5,97.3,Inteligencia de Señales,0.01,2023-03-01,29.1
REG-1295,Desconocido,18.54,24.7,44.8,Imagen Óptica,35.78,2023-01-23,65.84
REG-1296,Rusia,26.5,121.0,104.3,Meteorológico,2.4,2023-01-06,34.89
REG-1297,Rusia,23.54,55.1,109.7,Inteligencia de Señales,16.16,2023-02-20,26.61
REG-1298,Corea del Norte,26.06,41.2,40.5,Inteligencia de Señales,61.38,2023-01-01,77.36
REG-1299,EE.UU.,25.15,43.8,118.2,Inteligencia de Señales,3.24,2023-01-08,26.94
REG-1300,Rusia,17.86,32.5,25.5,Inteligencia de Señales,91.42,2023-01-28,78.84
REG-1301,Corea del Norte,19.2,7.4,32.2,Inteligencia de Señales,0.19,2023-02-15,71.34
REG-1302,EE.UU.,25.74,26.8,30.3,Inteligencia de Señales,14.17,2023-02-12,67.94
REG-1303,China,25.05,111.3,108.3,Vigilancia Radar,67.53,2023-02-03,15.94
REG-1304,Desconocido,21.9,47.4,82.0,Imagen Óptica,19.01,2023-01-10,72.09
REG-1305,EE.UU.,,82.0,26.7,Vigilancia Radar,5.37,2023-02-25,93.76
REG-1306,Rusia,28.39,83.6,58.4,Inteligencia de Señales,22.33,2023-03-02,45.61
REG-1307,Rusia,19.04,38.8,77.7,Imagen Óptica,15.76,2023-01-09,32.39
REG-1308,EE.UU.,24.74,63.8,19.2,Inteligencia de Señales,92.48,2023-01-12,91.38
REG-1309,Corea del Norte,20.99,8.3,107.1,Inteligencia de Señales,18.8,2023-01-14,30.5
REG-1310,Rusia,20.91,105.4,98.4,Imagen Óptica,77.78,2023-01-13,36.61
REG-1311,China,27.49,99.8,65.6,,111.22,2023-02-04,51.53
REG-1312,Rusia,26.13,57.3,116.4,Vigilancia Radar,28.44,2023-02-20,17.27
REG-1313,Rusia,26.07,48.6,56.0,Vigilancia Radar,120.37,2023-01-21,64.08
REG-1314,Desconocido,,39.2,118.3,Vigilancia Radar,23.69,2023-01-10,18.05
REG-1315,Desconocido,22.11,88.4,83.5,Meteorológico,166.32,2023-01-05,19.36
REG-1316,Corea del Norte,25.41,69.0,79.8,Inteligencia de Señales,4.68,2023-02-21,41.84
REG-1317,China,20.45,29.8,28.3,Imagen Óptica,58.08,2023-02-23,71.68
REG-1318,Rusia,23.62,14.4,107.0,Vigilancia Radar,34.04,2023-01-10,26.85
REG-1319,Desconocido,21.35,11.8,57.0,Meteorológico,24.52,2023-01-27,89.95
REG-1320,Rusia,22.48,87.8,27.8,Imagen Óptica,50.08,2023-01-16,84.21
REG-1321,Desconocido,24.98,38.6,11.4,Meteorológico,60.85,2023-02-06,88.88
REG-1322,EE.UU.,17.91,56.7,71.6,Meteorológico,0.22,2023-01-20,59.1
REG-1323,Corea del Norte,32.46,42.4,68.0,,9.13,2023-03-01,57.23
REG-1324,EE.UU.,16.97,12.0,89.1,Vigilancia Radar,62.42,2023-01-27,41.83
REG-1325,China,15.93,8.6,107.9,Imagen Óptica,54.89,2023-01-12,30.54
REG-1326,China,27.79,28.1,18.7,Inteligencia de Señales,169.14,2023-01-20,107.48
REG-1327,China,25.96,30.1,90.5,Inteligencia de Señales,71.57,2023-01-11,25.34
REG-1328,Rusia,25.12,30.1,30.6,Vigilancia Radar,150.57,2023-02-26,83.32
REG-1329,EE.UU.,25.14,30.8,104.4,Imagen Óptica,60.62,2023-01-02,17.66
REG-1330,Desconocido,21.94,145.0,100.1,Inteligencia de Señales,17.69,2023-01-02,35.49
REG-1331,Corea del Norte,17.51,81.2,69.5,Imagen Óptica,5.57,2023-02-18,42.16
REG-1332,China,22.38,47.9,88.1,,76.12,2023-01-30,34.16
REG-1333,EE.UU.,18.61,37.8,44.6,Meteorológico,51.66,2023-02-25,65.83
REG-1334,Rusia,26.88,38.9,61.8,Vigilancia Radar,2.47,2023-02-03,66.5
REG-1335,Desconocido,,67.3,100.4,Imagen Óptica,22.32,2023-01-01,38.9
REG-1336,China,17.87,37.6,60.5,Meteorológico,157.1,2023-02-01,45.19
REG-1337,China,20.39,75.6,49.4,Inteligencia de Señales,34.7,2023-02-19,65.97
REG-1338,Corea del Norte,24.06,51.7,64.4,Vigilancia Radar,28.35,2023-02-22,47.82
REG-1339,China,19.18,145.9,101.1,Imagen Óptica,30.6,2023-01-15,16.64
REG-1340,Desconocido,17.89,35.8,46.9,Vigilancia Radar,11.72,2023-01-26,65.0
REG-1341,EE.UU.,23.22,85.1,29.1,Vigilancia Radar,23.0,2023-01-01,76.55
REG-1342,Rusia,,15.7,88.3,Vigilancia Radar,23.09,2023-01-25,62.46
REG-1343,Corea del Norte,19.47,23.6,100.9,,2.69,2023-02-08,33.7
REG-1344,China,19.64,133.4,21.1,Vigilancia Radar,72.96,2023-01-13,71.45
REG-1345,Corea del Norte,23.16,73.5,36.4,Vigilancia Radar,26.94,2023-02-18,68.87
REG-1346,Corea del Norte,14.76,57.4,25.6,Meteorológico,86.35,2023-02-25,92.29
REG-1347,China,14.96,170.2,48.3,Imagen Óptica,94.97,2023-02-06,87.07
REG-1348,Rusia,18.41,38.2,59.5,Imagen Óptica,11.91,2023-02-15,42.49
REG-1349,Corea del Norte,,85.0,92.4,Vigilancia Radar,53.55,2023-02-17,16.52
REG-1350,EE.UU.,23.55,89.2,81.6,Inteligencia de Señales,31.96,2023-01-28,61.59
REG-1351,China,29.38,115.0,78.3,Imagen Óptica,106.08,2023-02-08,49.09
REG-1352,Rusia,26.29,14.0,48.8,Vigilancia Radar,12.15,2023-01-31,57.16
REG-1353,China,21.2,38.0,102.6,Vigilancia Radar,56.63,2023-02-22,33.53
REG-1354,Desconocido,21.9,51.1,61.8,Meteorológico,46.79,2023-02-25,30.38
REG-1355,Rusia,16.99,113.7,117.7,,17.5,2023-03-02,17.64
REG-1356,Corea del Norte,21.91,55.8,79.8,Vigilancia Radar,7.34,2023-02-05,47.42
REG-1357,EE.UU.,20.56,89.3,23.9,Vigilancia Radar,52.73,2023-02-03,92.51
REG-1358,EE.UU.,23.61,12.7,84.4,Meteorológico,67.08,2023-01-06,30.78
REG-1359,China,17.86,31.5,45.8,Imagen Óptica,18.96,2023-02-24,68.8
REG-1360,Corea del Norte,24.6,99.6,85.5,Meteorológico,51.76,2023-01-30,30.9
REG-1361,China,29.66,34.9,17.7,Imagen Óptica,25.14,2023-01-03,90.16
REG-1362,Corea del Norte,21.46,40.5,29.2,Imagen Óptica,62.45,2023-02-20,70.61
REG-1363,Desconocido,24.01,112.5,104.1,Meteorológico,11.11,2023-02-24,23.05
REG-1364,Desconocido,25.45,19.1,35.0,,110.46,2023-02-19,65.54
REG-1365,China,19.99,23.3,102.1,Inteligencia de Señales,16.94,2023-02-20,35.04
REG-1366,EE.UU.,23.12,11.4,40.7,Meteorológico,22.93,2023-01-20,80.09
REG-1367,Desconocido,22.06,115.5,80.7,Imagen Óptica,2.99,2023-02-25,41.16
REG-1368,Corea del Norte,22.49,80.2,86.4,Imagen Óptica,5.91,2023-01-10,39.9
REG-1369,Corea del Norte,18.13,78.8,66.4,Imagen Óptica,36.27,2023-01-19,39.03
REG-1370,China,22.12,30.8,43.6,Vigilancia Radar,15.57,2023-01-23,66.48
REG-1371,Rusia,24.49,10.5,33.4,Meteorológico,90.24,2023-03-02,76.12
REG-1372,China,29.26,7.6,13.7,Meteorológico,0.74,2023-01-14,116.62
REG-1373,Rusia,26.8,100.0,43.4,Meteorológico,23.83,2023-02-06,58.5
REG-1374,China,32.77,60.1,81.8,Inteligencia de Señales,20.58,2023-01-11,57.38
REG-1375,Rusia,18.16,68.4,113.2,Imagen Óptica,0.98,2023-02-22,30.73
REG-1376,Corea del Norte,26.36,49.4,105.8,,6.64,2023-01-16,28.75
REG-1377,Desconocido,22.92,20.9,94.3,Inteligencia de Señales,26.69,2023-02-03,51.58
REG-1378,Corea del Norte,32.95,31.9,96.7,Imagen Óptica,33.95,2023-01-04,36.03
REG-1379,China,17.96,16.5,83.1,Meteorológico,25.9,2023-02-02,45.72
REG-1380,Corea del Norte,17.8,14.6,38.6,Vigilancia Radar,37.85,2023-02-05,72.45
REG-1381,Rusia,19.0,75.7,109.8,,45.21,2023-01-07,35.38
REG-1382,Corea del Norte,11.38,8.4,83.8,Meteorológico,0.5,2023-01-31,52.3
REG-1383,Corea del Norte,19.37,16.6,71.6,Vigilancia Radar,31.19,2023-01-25,43.62
REG-1384,Rusia,18.2,33.4,22.2,Imagen Óptica,165.52,2023-01-17,71.27
REG-1385,China,22.75,43.4,59.2,Inteligencia de Señales,36.6,2023-01-07,56.53
REG-1386,Desconocido,23.71,11.3,60.6,Inteligencia de Señales,56.59,2023-02-26,49.58
REG-1387,EE.UU.,31.38,55.3,105.1,Meteorológico,18.69,2023-02-20,25.79
REG-1388,Rusia,,47.3,70.1,Inteligencia de Señales,74.36,2023-01-10,63.3
REG-1389,China,19.12,98.9,51.8,Vigilancia Radar,74.12,2023-01-28,59.17
REG-1390,Corea del Norte,17.51,43.9,117.4,,36.83,2023-01-23,17.39
REG-1391,Rusia,24.46,59.3,22.2,Meteorológico,186.51,2023-01-18,85.04
REG-1392,EE.UU.,15.4,22.0,56.5,Meteorológico,6.71,2023-02-27,68.93
REG-1393,China,31.16,22.8,14.6,Meteorológico,0.85,2023-01-29,67.31
REG-1394,Corea del Norte,,12.5,91.4,Meteorológico,73.52,2023-01-21,29.95
REG-1395,EE.UU.,,22.1,111.0,Vigilancia Radar,82.29,2023-02-11,24.41
REG-1396,Desconocido,13.43,31.5,40.8,Inteligencia de Señales,6.4,2023-02-17,83.44
REG-1397,Rusia,28.77,92.5,104.4,Meteorológico,15.43,2023-02-09,22.0
REG-1398,Rusia,21.43,19.3,42.1,Meteorológico,0.89,2023-01-23,51.76
REG-1399,Rusia,28.19,150.1,110.2,Meteorológico,17.36,2023-02-21,29.06
REG-1400,EE.UU.,14.03,63.0,92.9,,74.17,2023-01-12,28.62
REG-1401,EE.UU.,19.0,54.2,98.5,Imagen Óptica,36.49,2023-02-04,19.15
REG-1402,Rusia,,41.4,12.0,Imagen Óptica,21.39,2023-01-30,85.36
REG-1403,Rusia,22.23,35.6,115.9,Inteligencia de Señales,23.24,2023-01-20,17.02
REG-1404,China,19.75,25.1,89.9,Vigilancia Radar,0.07,2023-01-04,31.02
REG-1405,China,25.11,10.8,43.5,Inteligencia de Señales,17.82,2023-01-23,47.49
REG-1406,Rusia,16.66,19.9,101.2,Inteligencia de Señales,51.99,2023-02-07,38.13
REG-1407,EE.UU.,21.29,115.3,41.0,Meteorológico,182.86,2023-01-08,84.05
REG-1408,Desconocido,22.6,60.3,106.0,Vigilancia Radar,93.89,2023-02-22,32.32
REG-1409,Desconocido,24.57,114.6,22.4,Meteorológico,1.19,2023-02-26,72.94
REG-1410,Corea del Norte,25.56,24.5,87.4,Inteligencia de Señales,114.41,2023-01-09,36.81
REG-1411,China,16.38,16.1,69.5,Inteligencia de Señales,76.44,2023-02-07,51.28
REG-1412,Corea del Norte,14.33,41.1,20.6,,75.79,2023-01-27,91.57
REG-1413,Rusia,28.39,20.6,36.6,Imagen Óptica,30.62,2023-02-17,81.06
REG-1414,China,23.66,47.7,11.4,Meteorológico,25.38,2023-01-11,84.68
REG-1415,EE.UU.,18.26,8.6,61.6,Vigilancia Radar,18.04,2023-02-12,57.7
REG-1416,EE.UU.,29.76,4.6,43.1,Meteorológico,3.4,2023-01-25,74.4
REG-1417,Rusia,22.58,52.7,75.8,Inteligencia de Señales,12.95,2023-02-08,61.5
REG-1418,Desconocido,27.9,117.4,42.7,,14.16,2023-01-22,77.16
REG-1419,EE.UU.,22.34,54.4,43.0,Vigilancia Radar,33.09,2023-01-21,77.79
REG-1420,Rusia,32.3,59.9,91.8,Vigilancia Radar,68.81,2023-01-12,36.58
REG-1421,EE.UU.,30.78,42.4,15.3,Imagen Óptica,32.1,2023-02-13,103.39
REG-1422,Desconocido,20.76,45.5,109.3,,2.98,2023-02-10,27.59
REG-1423,Rusia,26.86,10.2,103.7,Meteorológico,158.25,2023-01-08,18.8
REG-1424,China,25.23,21.3,83.5,Meteorológico,142.99,2023-02-12,55.58
REG-1425,EE.UU.,28.84,91.8,75.3,Vigilancia Radar,76.9,2023-02-05,54.27
REG-1426,China,17.18,31.0,108.2,Meteorológico,237.38,2023-02-08,19.83
REG-1427,Corea del Norte,25.43,90.6,30.4,Inteligencia de Señales,39.32,2023-01-01,73.93
REG-1428,Corea del Norte,27.29,44.6,18.7,Inteligencia de Señales,164.53,2023-02-17,89.88
REG-1429,China,13.21,46.3,36.3,Meteorológico,3.93,2023-02-08,79.22
REG-1430,Desconocido,16.08,31.2,97.4,Vigilancia Radar,22.76,2023-02-17,33.79
REG-1431,Desconocido,11.8,66.2,13.8,Imagen Óptica,12.77,2023-01-23,93.45
REG-1432,Desconocido,20.65,77.6,74.1,Inteligencia de Señales,10.9,2023-01-24,65.13
REG-1433,Rusia,25.59,20.3,119.5,Meteorológico,7.59,2023-02-07,27.07
REG-1434,EE.UU.,29.51,11.3,104.1,,48.7,2023-01-25,29.04
REG-1435,EE.UU.,22.37,5.8,67.4,Inteligencia de Señales,76.01,2023-02-14,62.23
REG-1436,Corea del Norte,30.14,57.9,17.0,Imagen Óptica,43.17,2023-01-19,77.77
REG-1437,Desconocido,15.1,53.3,101.5,Inteligencia de Señales,7.95,2023-01-21,32.93
REG-1438,Corea del Norte,13.48,177.6,75.9,Vigilancia Radar,83.33,2023-02-17,64.96
REG-1439,EE.UU.,21.72,42.6,22.6,Imagen Óptica,50.52,2023-01-16,82.0
REG-1440,China,23.92,37.0,20.3,Meteorológico,24.56,2023-01-14,77.31
REG-1441,China,21.84,48.9,110.1,Inteligencia de Señales,56.06,2023-03-02,16.41
REG-1442,Desconocido,11.66,50.8,83.6,Inteligencia de Señales,15.05,2023-02-26,30.58
REG-1443,China,21.55,34.8,101.2,Imagen Óptica,21.17,2023-01-11,21.31
REG-1444,Desconocido,15.48,20.9,106.7,Meteorológico,124.74,2023-01-03,21.6
REG-1445,Desconocido,25.35,40.9,72.9,Inteligencia de Señales,17.16,2023-01-11,34.91
REG-1446,EE.UU.,23.83,39.7,66.9,Meteorológico,31.74,2023-01-01,53.33
REG-1447,Rusia,17.3,39.2,57.3,Vigilancia Radar,110.43,2023-01-26,68.91
REG-1448,Rusia,19.43,71.1,44.9,Imagen Óptica,61.5,2023-02-06,59.49
REG-1449,Corea del Norte,16.7,40.3,57.8,Vigilancia Radar,3.21,2023-02-05,74.73
REG-1450,EE.UU.,21.69,11.6,95.1,Imagen Óptica,7.97,2023-01-08,38.54
REG-1451,China,,23.9,76.2,Inteligencia de Señales,0.39,2023-01-05,56.97
REG-1452,EE.UU.,17.07,34.5,108.2,Vigilancia Radar,49.84,2023-01-09,17.68
REG-1453,China,24.52,41.8,58.8,Inteligencia de Señales,29.68,2023-02-15,67.39
REG-1454,China,19.35,58.8,76.8,Imagen Óptica,7.21,2023-02-01,35.32
REG-1455,Rusia,18.04,42.0,79.4,,158.43,2023-01-10,53.32
REG-1456,China,21.46,4.7,75.1,Meteorológico,37.71,2023-01-28,49.15
REG-1457,Desconocido,16.82,13.0,87.3,Vigilancia Radar,13.85,2023-02-15,44.42
REG-1458,Corea del Norte,19.23,61.6,36.1,Vigilancia Radar,34.72,2023-01-12,62.97
REG-1459,Rusia,16.01,33.7,66.4,Meteorológico,56.91,2023-01-10,44.57
REG-1460,EE.UU.,31.82,44.8,21.5,Meteorológico,3.97,2023-01-22,90.92
REG-1461,Rusia,,30.4,52.3,Inteligencia de Señales,16.06,2023-02-13,53.91
REG-1462,Corea del Norte,18.5,23.8,63.6,Meteorológico,82.24,2023-02-02,60.11
REG-1463,Corea del Norte,23.07,31.3,81.7,Imagen Óptica,30.78,2023-02-05,29.14
REG-1464,Rusia,21.44,45.2,114.6,Inteligencia de Señales,39.55,2023-01-10,28.26
REG-1465,Rusia,20.9,40.1,76.1,Meteorológico,28.35,2023-01-17,34.4
REG-1466,China,25.07,77.2,91.8,,2.24,2023-01-18,41.26
REG-1467,EE.UU.,25.79,9.4,65.7,Vigilancia Radar,9.06,2023-01-22,60.27
REG-1468,Corea del Norte,,10.8,79.8,Imagen Óptica,29.49,2023-03-02,37.17
REG-1469,Rusia,19.12,33.4,17.8,Vigilancia Radar,11.73,2023-01-15,93.36
REG-1470,Desconocido,20.62,59.2,38.0,Meteorológico,2.56,2023-01-06,76.0
REG-1471,China,10.49,68.4,49.8,Vigilancia Radar,92.78,2023-01-09,59.75
REG-1472,EE.UU.,14.42,24.7,62.0,Inteligencia de Señales,198.68,2023-02-19,46.51
REG-1473,Rusia,,1.5,15.0,Meteorológico,78.79,2023-02-17,69.87
REG-1474,Rusia,30.22,25.4,25.4,Inteligencia de Señales,96.13,2023-01-11,85.72
REG-1475,Rusia,20.75,53.4,40.4,Vigilancia Radar,13.85,2023-02-17,56.07
REG-1476,EE.UU.,24.88,39.5,116.9,Imagen Óptica,161.73,2023-02-05,19.12
REG-1477,Rusia,23.56,60.8,46.4,Meteorológico,10.97,2023-02-02,64.89
REG-1478,China,37.39,89.7,63.0,Meteorológico,151.24,2023-03-02,62.69
REG-1479,Corea del Norte,27.6,35.3,31.6,Meteorológico,263.14,2023-02-23,74.86
REG-1480,Desconocido,21.36,27.8,77.2,Vigilancia Radar,62.19,2023-01-31,42.67
REG-1481,Rusia,17.22,18.4,40.9,,198.55,2023-01-10,78.69
REG-1482,EE.UU.,,10.8,32.8,,42.15,2023-02-12,80.39
REG-1483,Rusia,23.02,7.9,66.8,Vigilancia Radar,15.02,2023-02-13,56.4
REG-1484,Rusia,18.22,22.6,10.6,Vigilancia Radar,28.72,2023-03-01,97.27
REG-1485,China,14.89,81.6,10.8,Inteligencia de Señales,45.02,2023-02-24,77.08
REG-1486,EE.UU.,18.77,64.9,34.1,Imagen Óptica,3.79,2023-02-07,83.7
REG-1487,Desconocido,,26.7,14.0,Imagen Óptica,48.69,2023-02-25,96.32
REG-1488,EE.UU.,30.44,151.0,21.9,Imagen Óptica,198.64,2023-02-01,74.5
REG-1489,EE.UU.,26.41,24.0,47.3,Imagen Óptica,10.54,2023-01-22,64.45
REG-1490,Desconocido,21.96,95.4,98.3,Meteorológico,78.65,2023-01-06,30.8
REG-1491,Corea del Norte,29.4,110.5,72.9,Meteorológico,119.24,2023-02-26,47.63
REG-1492,Corea del Norte,22.39,56.0,66.4,Inteligencia de Señales,143.85,2023-02-05,56.86
REG-1493,Desconocido,17.69,22.5,42.3,Inteligencia de Señales,161.11,2023-01-29,84.7
REG-1494,Rusia,29.62,29.7,112.5,Inteligencia de Señales,36.85,2023-01-25,32.07
REG-1495,Desconocido,24.69,46.0,53.7,Meteorológico,189.29,2023-01-18,49.29
REG-1496,Rusia,16.81,11.1,19.6,Meteorológico,70.8,2023-01-07,92.5
REG-1497,China,21.05,16.8,77.9,Meteorológico,8.82,2023-01-08,58.76
REG-1498,EE.UU.,,15.5,22.5,,32.4,2023-01-07,88.12
REG-1499,EE.UU.,15.09,59.0,48.0,Meteorológico,63.35,2023-01-28,77.31
REG-1000,EE.UU.,150.0,76.1,82.6,Vigilancia Radar,35.4,2023-02-07,49.38
REG-1001,Desconocido,0.5,10.4,94.1,Inteligencia de Señales,103.66,2023-01-31,21.2
REG-1002,EE.UU.,25.24,5000.0,39.2,Vigilancia Radar,34.02,2023-01-31,63.0
REG-1003,China,29.62,23.0,12.3,Meteorológico,60.58,2023-01-02,96.11
REG-1004,Rusia,20.83,26.7,19.0,Meteorológico,246.8,2023-02-06,101.54
REG-1005,EE.UU.,20.83,41.5,116.5,Inteligencia de Señales,7.05,2023-01-17,22.01
REG-1006,EE.UU.,29.9,19.4,42.5,Vigilancia Radar,16.06,2023-01-08,67.12
REG-1007,China,25.84,33.0,94.6,Vigilancia Radar,25.09,2023-01-09,33.77
REG-1008,Rusia,19.65,18.0,78.7,Inteligencia de Señales,27.39,2023-02-27,32.41
REG-1009,China,24.71,24.7,52.0,Meteorológico,26.47,2023-01-29,69.65
