Season,Difficulty_Level,Map_Name,Team_Name,Team_Code,Points_Scored,Enemies_Defeated,Missions_Completed
2024,Básico,Bosque Verde,Guardianes,GUA,1949,1235,16
2025,Avanzado,Ciudad Oscura,Pioneros,PIO,550,697,57
2024,Básico,Zona Volcánica,Forjadores,FOR,2842,1167,26
2024,Básico,Desierto Rojo,Sombras,SOM,1733,649,68
2022,Básico,Desierto Rojo,Pioneros,PIO,1630,962,43
2024,Básico,Ciudad Oscura,Sombras,SOM,1510,1380,68
2025,Avanzado,Desierto Rojo,Titán,TIT,938,377,43
2021,Intermedio,Ciudad Oscura,Pioneros,PIO,1849,1001,47
2024,Avanzado,Zona Volcánica,Nómadas,NOM,1730,756,82
2022,Intermedio,Ciudad Oscura,Nómadas,NOM,2131,753,42
2024,Avanzado,Desierto Rojo,Vigías,VIG,2040,674,109
2024,Intermedio,Bosque Verde,Forjadores,FOR,2925,1217,28
2025,Básico,Isla Helada,Forjadores,FOR,2295,696,111
2021,Intermedio,Isla Helada,Nómadas,NOM,1740,595,37
2022,Avanzado,Isla Helada,Pioneros,PIO,802,1019,81
2024,Avanzado,Isla Helada,Pioneros,PIO,2726,175,106
2023,Avanzado,Zona Volcánica,Guardianes,GUA,947,608,89
2023,Básico,Zona Volcánica,Exploradores,EXP,2806,1421,91
2024,Intermedio,Isla Helada,Guardianes,GUA,543,301,38
2022,Avanzado,Zona Volcánica,Forjadores,FOR,2325,866,55
2024,Avanzado,Zona Volcánica,Nómadas,NOM,1912,150,66
2021,Intermedio,Isla Helada,Guardianes,GUA,975,390,49
2023,Intermedio,Isla Helada,Forjadores,FOR,2634,1089,49
2024,Básico,Isla Helada,Titán,TIT,1806,237,43
2021,Avanzado,Bosque Verde,Exploradores,EXP,1905,1427,18
2022,Avanzado,Desierto Rojo,Nómadas,NOM,2760,427,47
2025,Intermedio,Isla Helada,Forjadores,FOR,2159,1389,28
2022,Avanzado,Isla Helada,Pioneros,PIO,619,1357,118
2022,Intermedio,Zona Volcánica,Pioneros,PIO,2092,109,95
2022,Básico,Ciudad Oscura,Guardianes,GUA,2864,308,107
2025,Básico,Ciudad Oscura,Vigías,VIG,1307,1037,19
2023,Avanzado,Isla Helada,Vigías,VIG,2945,895,83
2024,Avanzado,Bosque Verde,Vigías,VIG,1941,1037,84
2022,Avanzado,Ciudad Oscura,Guardianes,GUA,1048,741,20
2022,Intermedio,Bosque Verde,Nómadas,NOM,2029,389,70
2024,Intermedio,Zona Volcánica,Nómadas,NOM,2854,885,59
2022,Intermedio,Zona Volcánica,Nómadas,NOM,2772,441,67
2023,Básico,Desierto Rojo,Vigías,VIG,2347,1368,11
2023,Básico,Isla Helada,Nómadas,NOM,1299,886,76
2025,Avanzado,Isla Helada,Pioneros,PIO,2514,951,95
2024,Intermedio,Desierto Rojo,Guardianes,GUA,2815,163,106
2022,Intermedio,Bosque Verde,Sombras,SOM,1420,1201,41
2022,Intermedio,Zona Volcánica,Titán,TIT,2751,1146,19
2025,Básico,Ciudad Oscura,Vigías,VIG,2720,185,102
2024,Avanzado,Desierto Rojo,Pioneros,PIO,919,1438,101
2022,Intermedio,Bosque Verde,Titán,TIT,1576,813,115
2021,Intermedio,Bosque Verde,Forjadores,FOR,1359,1304,93
2023,Avanzado,Zona Volcánica,Pioneros,PIO,1179,1361,22
2022,Básico,Bosque Verde,Vigías,VIG,2680,675,81
2025,Básico,Ciudad Oscura,Sombras,SOM,1685,1272,39
2025,Avanzado,Bosque Verde,Nómadas,NOM,2185,221,40
2022,Avanzado,Desierto Rojo,Forjadores,FOR,1099,759,111
2022,Avanzado,Isla Helada,Titán,TIT,1082,1282,85
2023,Avanzado,Isla Helada,Pioneros,PIO,2351,254,86
2021,Intermedio,Zona Volcánica,Sombras,SOM,2011,1031,67
2023,Avanzado,Bosque Verde,Guardianes,GUA,2377,1400,90
2023,Básico,Zona Volcánica,Pioneros,PIO,1392,979,110
2022,Intermedio,Ciudad Oscura,Vigías,VIG,1661,791,75
2025,Básico,Zona Volcánica,Titán,TIT,1907,1497,102
2021,Básico,Bosque Verde,Titán,TIT,566,354,114
2022,Intermedio,Isla Helada,Exploradores,EXP,2252,514,93
2022,Avanzado,Ciudad Oscura,Nómadas,NOM,1622,291,88
2023,Intermedio,Bosque Verde,Vigías,VIG,1177,206,55
2023,Avanzado,Desierto Rojo,Pioneros,PIO,873,294,5
2022,Intermedio,Bosque Verde,Nómadas,NOM,2931,563,71
2024,Básico,Bosque Verde,Vigías,VIG,993,964,93
2022,Intermedio,Bosque Verde,Forjadores,FOR,2069,282,98
2021,Básico,Ciudad Oscura,Vigías,VIG,1725,380,53
2022,Avanzado,Desierto Rojo,Guardianes,GUA,2672,1253,6
2025,Avanzado,Desierto Rojo,Titán,TIT,1938,536,85
2022,Intermedio,Zona Volcánica,Titán,TIT,1389,277,119
2021,Básico,Bosque Verde,Pioneros,PIO,1939,979,45
2022,Básico,Ciudad Oscura,Guardianes,GUA,1516,1233,81
2025,Avanzado,Zona Volcánica,Sombras,SOM,609,1448,117
2023,Básico,Zona Volcánica,Forjadores,FOR,2104,705,87
2021,Básico,Isla Helada,Pioneros,PIO,961,593,68
2025,Básico,Zona Volcánica,Exploradores,EXP,1979,748,21
2024,Avanzado,Isla Helada,Vigías,VIG,2737,1498,27
2024,Básico,Bosque Verde,Guardianes,GUA,556,636,32
2021,Básico,Isla Helada,Sombras,SOM,2552,950,59
2024,Básico,Zona Volcánica,Nómadas,NOM,1636,271,44
2021,Avanzado,Desierto Rojo,Nómadas,NOM,2697,769,55
2025,Avanzado,Bosque Verde,Sombras,SOM,2291,588,12
2022,Básico,Isla Helada,Guardianes,GUA,2357,1353,82
2021,Intermedio,Desierto Rojo,Guardianes,GUA,551,381,94
2021,Básico,Isla Helada,Vigías,VIG,2642,1159,105
2023,Básico,Ciudad Oscura,Nómadas,NOM,1600,341,103
