ID,Temperatura,Humedad,Alerta
2471,31.34,48.56,2
2472,25.05,43.80,3
2473,21.94,43.81,2
2474,24.09,49.46,3
2475,28.88,64.54,3
2476,15.46,93.80,1
2477,26.32,40.82,3
2478,29.78,64.19,2
2479,24.44,55.38,2
2480,27.95,78.53,1
2481,22.18,88.93,3
2482,34.01,76.33,2
2483,16.81,94.06,1
2484,34.50,61.81,3
2485,33.81,47.36,1
2486,29.51,90.20,3
2487,25.96,65.34,1
2488,26.94,59.58,2
2489,23.08,80.83,3
2490,29.52,79.71,1
2491,20.03,90.04,3
2492,15.08,48.31,2
2493,18.57,53.37,3
2494,32.80,75.66,3
2495,23.63,54.36,2
2496,28.79,93.81,2
2497,18.85,62.05,2
2498,21.10,60.37,2
2499,17.45,71.51,1
2500,24.25,93.03,1
2501,20.51,41.55,1
2502,29.67,88.51,3
2503,28.99,53.42,3
2504,30.94,49.22,3
2505,33.53,53.96,1
2506,22.46,70.10,1
2507,17.59,71.12,1
2508,17.63,63.12,2
2509,33.37,68.63,1
2510,29.53,45.85,3
2511,17.40,85.63,2
2512,29.50,46.94,3
2513,28.25,92.41,3
2514,18.64,71.79,2
2515,22.10,63.14,3
2516,18.13,91.19,2
2517,25.46,86.15,1
2518,30.90,54.07,2
2519,18.77,67.11,3
2520,20.72,45.58,2
2521,33.41,78.80,2
2522,30.74,71.93,2
2523,33.21,47.64,1
2524,17.13,88.78,1
2525,22.76,44.37,2
2526,33.38,51.90,3
2527,32.69,75.70,2
2528,24.50,48.02,3
2529,21.53,80.14,1
2530,22.52,66.61,1
2531,34.02,82.41,1
2532,25.39,63.52,3
2533,21.99,87.14,2
2534,27.53,71.40,2
2535,23.31,63.30,3
2536,34.88,47.94,1
2537,24.09,94.45,2
2538,17.33,53.82,2
2539,21.94,87.40,3
2540,15.83,91.71,2
2541,20.07,94.67,2
2542,22.85,68.11,3
2543,26.89,51.23,3
2544,21.77,73.44,3
2545,17.16,59.06,1
2546,28.46,60.51,2
2547,28.43,90.77,3
2548,18.61,65.90,3
2549,24.93,69.93,1
2550,30.91,86.06,2
2551,22.27,81.83,3
2552,24.38,55.87,1
2553,30.83,94.97,2
2554,18.38,86.62,2
2555,19.95,86.93,1
2556,32.54,82.84,1
2557,16.90,86.20,1
2558,25.96,83.73,3
2559,18.03,87.40,1
2560,29.04,82.89,1
2561,17.76,54.49,3
2562,27.63,70.65,2
2563,34.01,86.95,3
2564,18.68,73.26,2
2565,23.00,40.48,1
2566,23.30,66.99,1
2567,22.01,45.98,1
2568,19.98,71.28,3
2569,24.53,46.85,2
2570,30.48,78.76,2
2571,22.63,75.69,2
2572,29.39,87.42,2
2573,25.84,60.14,2
2574,15.39,94.60,3
2575,20.83,92.92,1
2576,25.05,77.65,1
2577,16.44,76.26,1
2578,30.30,91.41,3
2579,26.29,44.35,1
2580,31.70,50.83,1
2581,32.64,64.96,1
2582,32.90,54.87,3
2583,33.67,50.16,2
2584,26.06,81.87,1
2585,25.49,54.13,3
2586,32.17,94.80,1
2587,20.94,54.47,3
2588,25.16,58.71,2
2589,32.91,71.89,1
2590,26.72,54.48,1
2591,22.04,55.74,1
2592,34.51,92.95,2
2593,24.77,85.12,2
2594,22.62,93.71,1
2595,16.10,43.69,1
2596,21.25,83.40,1
2597,22.21,44.04,1
2598,29.12,43.77,1
2599,32.19,86.87,1
2600,17.95,88.02,2
2601,29.19,76.63,1
2602,25.04,56.00,2
2603,17.57,63.27,1
2604,21.75,90.08,1
2605,31.91,64.77,1
2606,33.92,48.70,3
2607,18.95,58.21,2
2608,26.25,49.67,1
2609,28.56,44.58,1
2610,30.56,68.26,2
2611,28.54,75.74,1
2612,17.81,52.80,3
2613,32.78,50.65,2
2614,22.77,41.49,3
2615,27.62,53.76,1
2616,32.08,76.67,3
2617,32.98,55.16,3
2618,16.05,84.59,2
2619,18.58,43.44,3
2620,20.83,87.35,3
2621,24.31,61.47,2
2622,19.44,71.71,3
2623,25.72,57.48,2
2624,22.72,42.30,3
2625,20.87,59.45,3
2626,21.72,74.51,2
2627,15.71,68.83,1
2628,18.56,93.03,3
2629,19.46,59.81,2
2630,34.78,62.09,1
2631,23.92,71.87,3
2632,22.51,63.89,2
2633,25.95,62.86,3
2634,16.87,53.46,1
2635,26.38,91.17,2
2636,19.20,65.88,1
2637,18.76,44.72,3
2638,19.62,69.67,2
2639,27.96,67.94,2
2640,16.38,63.69,3
2641,22.40,86.11,2
2642,28.18,85.10,2
2643,21.62,47.44,1
2644,19.20,45.73,3
2645,17.78,65.04,3
2646,26.56,80.92,2
2647,19.58,40.62,3
2648,28.78,51.25,1
2649,31.22,91.92,2
2650,28.78,59.43,2
2651,34.86,57.31,2
2652,22.38,67.52,3
2653,22.67,77.57,3
2654,26.99,60.87,2
2655,33.57,63.81,2
2656,26.09,90.34,1
2657,16.30,56.38,1
2658,18.74,65.33,2
2659,22.50,76.92,3
2660,21.22,86.91,2
2661,27.95,49.41,1
2662,20.62,94.69,3
2663,15.76,88.43,2
2664,24.91,72.80,3
2665,22.39,51.17,2
2666,24.00,52.93,3
2667,23.30,57.10,3
2668,29.99,59.41,2
2669,19.96,83.24,1
2670,32.97,40.01,3
2671,29.56,52.80,3
2672,32.82,57.90,3
2673,23.40,66.09,1
2674,24.77,70.83,2
2675,22.13,41.69,2
2676,19.58,58.74,1
2677,15.12,51.08,2
2678,23.49,77.22,1
2679,27.98,81.97,1
2680,24.11,80.48,3
2681,30.24,87.18,2
2682,16.58,45.34,2
2683,30.47,47.57,2
2684,29.13,40.59,1
2685,28.55,48.82,3
2686,15.84,92.70,3
2687,26.07,72.96,3
2688,28.60,52.65,2
2689,27.37,64.60,2
2690,22.62,46.89,2
2691,24.02,72.92,3
2692,25.03,44.64,3
2693,22.27,92.14,3
2694,24.63,61.14,1
2695,33.44,85.16,2
2696,18.74,64.00,3
2697,19.61,76.80,3
2698,28.71,44.72,2
2699,18.16,79.15,2
2700,20.28,76.91,2
2701,34.81,65.93,2
2702,23.46,62.87,2
2703,16.47,94.29,1
2704,17.43,40.22,3
2705,27.18,64.17,2
2706,23.97,43.61,3
2707,19.21,44.66,3
2708,32.91,42.80,1
2709,23.14,75.65,1
2710,26.49,90.64,3
2711,16.01,89.73,1
2712,25.45,81.23,2
2713,22.63,90.19,3
2714,16.52,52.89,2
2715,18.45,54.63,1
2716,32.84,82.10,1
2717,15.32,80.74,1
2718,17.17,94.33,3
2719,20.87,65.77,1
2720,15.78,68.41,1
2721,29.76,67.37,1
2722,30.37,80.41,3
2723,34.22,51.03,3
2724,27.34,58.33,3
2725,18.94,49.04,3
2726,15.12,68.36,1
2727,21.29,58.02,3
2728,25.87,78.43,2
2729,30.28,86.68,1
2730,15.09,69.01,3
2731,23.75,42.79,2
2732,19.25,65.21,2
2733,23.35,48.27,3
2734,24.17,65.67,1
2735,21.38,63.33,2
2736,16.17,41.77,1
2737,23.82,59.50,2
2738,29.10,45.34,2
2739,32.43,70.86,2
2740,18.62,41.32,2
2741,29.63,43.06,1
2742,28.14,50.17,3
2743,23.30,73.79,1
2744,23.10,91.24,3
2745,24.45,82.01,1
2746,24.27,89.45,2
2747,33.44,80.38,3
2748,20.83,75.87,3
2749,15.24,58.35,3
2750,16.67,47.89,3
2751,27.70,78.72,3
2752,23.07,43.28,1
2753,26.23,84.77,2
2754,20.52,48.44,3
2755,28.28,44.68,3
2756,34.80,44.37,3
2757,18.17,50.92,3
2758,23.30,41.05,1
2759,32.11,88.38,2
2760,27.51,74.07,1
2761,28.04,89.48,2
2762,25.04,86.41,1
2763,20.16,51.41,3
2764,17.94,89.07,1
2765,23.70,74.81,3
2766,21.13,58.91,1
2767,18.39,92.30,1
2768,19.56,89.32,3
2769,34.06,55.29,3
2770,32.41,75.69,1
2771,20.50,63.68,3
2772,31.38,46.53,3
2773,26.41,65.82,1
2774,25.47,72.29,2
2775,34.36,70.99,2
2776,26.05,87.11,2
2777,17.90,45.18,3
2778,23.41,46.31,3
2779,20.98,63.44,1
2780,34.94,46.86,1
2781,24.99,50.60,1
2782,22.33,92.54,2
2783,21.01,82.72,2
2784,32.05,75.17,3
2785,18.35,55.22,2
2786,24.71,65.15,2
2787,31.29,93.50,1
2788,25.33,71.33,3
2789,19.76,51.05,2
2790,26.25,40.07,3
2791,15.80,67.98,3
2792,24.89,44.48,2
2793,24.48,71.98,3
2794,19.99,58.46,1
2795,23.98,57.90,2
2796,16.51,45.75,1
2797,20.56,88.79,3
2798,26.40,59.45,1
2799,15.18,77.35,2
2800,29.27,47.34,1
2801,31.39,82.09,3
2802,29.09,66.23,3
2803,19.38,57.72,3
2804,20.24,73.21,3
2805,21.83,93.72,3
2806,28.57,46.40,2
2807,30.59,82.70,2
2808,20.22,79.81,1
2809,28.48,88.44,1
2810,22.97,78.33,3
2811,25.83,83.31,3
2812,17.94,92.52,1
2813,26.50,75.93,3
2814,15.59,59.59,2
2815,24.74,86.23,2
2816,23.78,92.33,3
2817,16.20,86.60,1
2818,19.09,55.10,3
2819,28.17,42.17,1
2820,34.35,44.24,1
2821,33.72,61.28,2
2822,21.72,61.68,2
2823,24.89,90.86,1
2824,15.56,63.25,2
2825,15.33,64.06,2
2826,31.57,46.91,2
2827,21.48,94.88,3
2828,31.44,49.00,2
2829,29.01,86.54,3
2830,24.90,87.64,1
2831,25.94,74.28,2
2832,33.07,56.93,2
2833,22.52,87.12,2
2834,16.84,68.32,1
2835,19.72,50.44,3
2836,19.33,64.21,2
2837,25.79,42.59,2
2838,30.93,90.59,3
2839,16.79,67.49,2
2840,24.50,66.50,3
2841,34.06,61.50,1
2842,25.45,55.55,1
2843,20.29,88.38,3
2844,33.91,59.75,1
2845,17.43,67.39,3
2846,19.98,64.01,1
2847,32.87,81.32,1
2848,15.04,86.76,3
2849,21.02,53.53,2
2850,30.98,41.13,2
2851,23.30,63.76,3
2852,32.35,44.16,2
2853,28.64,40.72,3
2854,33.85,86.90,3
2855,18.81,83.93,3
2856,30.57,84.56,2
2857,18.43,93.30,2
2858,30.62,58.92,2
2859,21.39,58.33,2
2860,16.09,75.45,1
2861,24.60,53.37,2
2862,31.17,85.11,3
2863,20.12,55.83,3
2864,20.46,45.41,1
2865,32.99,72.57,3
2866,22.13,76.32,2
2867,20.35,82.58,2
2868,30.52,73.35,1
2869,33.10,77.29,1
2870,28.48,64.18,2
2871,20.47,62.13,1
2872,33.37,71.45,1
2873,20.88,42.79,1
2874,21.87,80.12,2
2875,17.47,40.92,3
2876,26.23,49.41,2
2877,31.73,82.21,3
2878,29.56,65.34,1
2879,15.84,90.44,3
2880,29.60,45.35,3
2881,17.98,64.63,1
2882,21.47,76.89,3
2883,26.87,40.00,2
2884,15.32,77.23,2
2885,31.17,47.97,3
2886,16.10,81.02,2
2887,25.37,78.98,3
2888,34.17,47.94,2
2889,15.79,87.19,2
2890,30.96,59.60,3
2891,30.92,78.23,2
2892,29.35,68.34,3
2893,22.51,79.46,2
2894,30.39,52.40,1
2895,29.91,65.38,1
2896,15.80,90.34,3
2897,32.85,44.45,3
2898,22.45,42.51,1
2899,32.68,76.99,3
2900,27.13,72.91,3
2901,27.56,94.28,1
2902,30.02,61.19,2
2903,20.63,92.16,3
2904,27.78,54.70,2
2905,27.91,52.74,1
2906,30.83,82.49,1
2907,26.15,91.00,1
2908,21.86,47.14,3
2909,16.92,58.84,2
2910,21.07,90.35,1
2911,33.51,90.67,3
2912,30.15,49.34,3
2913,20.00,83.17,3
2914,23.78,74.01,3
2915,23.43,73.57,1
2916,26.12,44.02,1
2917,31.88,41.64,2
2918,30.46,62.16,1
2919,21.58,49.18,2
2920,27.09,81.23,3
2921,28.66,83.04,1
2922,31.09,53.28,1
2923,29.69,86.94,3
2924,25.62,46.62,2
2925,18.90,50.68,2
2926,26.56,40.19,3
2927,33.27,52.76,3
2928,34.94,73.16,2
2929,16.24,71.27,1
2930,33.22,81.90,2
2931,18.95,81.97,3
2932,33.59,53.22,1
2933,34.94,70.87,2
2934,25.08,80.96,2
2935,31.64,76.96,3
2936,23.00,61.09,1
2937,15.46,70.74,3
2938,19.37,55.22,1
2939,27.70,70.08,1
2940,25.88,83.42,1
2941,21.65,75.77,3
2942,33.29,94.60,3
2943,29.92,69.38,2
2944,18.87,46.65,3
2945,33.17,43.86,1
2946,17.10,93.08,1
2947,24.09,59.53,1
2948,30.10,68.87,3
2949,16.58,74.33,2
2950,27.33,89.25,3
2951,32.93,79.88,3
2952,26.12,57.09,1
2953,32.69,52.67,3
2954,30.88,91.34,1
2955,22.67,68.37,2
2956,26.94,70.90,3
2957,27.18,42.29,1
2958,27.82,81.01,2
2959,20.25,67.93,2
2960,20.38,47.30,2
2961,34.94,86.96,3
2962,31.37,57.13,2
2963,15.88,44.47,2
2964,24.77,68.06,2
2965,28.48,44.06,2
2966,32.11,62.74,2
2967,27.21,59.07,1
2968,33.33,93.05,3
2969,23.40,73.93,1
2970,24.34,79.95,3
2971,28.17,53.32,2
2972,34.20,91.57,3
2973,22.93,51.95,1
2974,18.02,76.04,1
2975,20.72,48.65,3
2976,34.16,60.42,2
2977,18.67,51.66,3
2978,18.75,87.42,3
2979,15.12,74.69,3
2980,29.57,80.25,3
2981,32.35,82.91,2
2982,17.30,67.48,3
2983,19.04,40.03,1
2984,31.25,53.47,3
2985,27.75,40.58,3
2986,16.09,68.11,1
2987,27.13,74.06,3
2988,15.57,56.65,3
2989,24.45,85.20,2
2990,24.23,55.32,1
2991,19.43,40.72,1
2992,22.89,86.83,2
2993,17.07,67.58,2
2994,19.24,89.91,2
2995,21.49,91.37,2
2996,18.79,42.14,2
2997,28.28,91.69,1
2998,25.27,43.82,1
2999,27.80,44.52,2
3000,32.10,61.64,2
3001,22.43,46.41,3
3002,23.67,70.21,2
3003,22.73,93.33,1
3004,33.95,54.89,2
3005,22.56,48.30,3
3006,27.62,64.46,3
3007,25.32,49.14,1
3008,20.73,89.80,1
3009,26.67,87.20,2
3010,31.50,63.57,1
3011,22.31,84.23,3
3012,31.79,52.15,3
3013,16.59,57.42,1
3014,31.90,60.43,2
3015,16.95,82.20,3
3016,19.25,85.67,1
3017,30.96,44.85,2
3018,25.76,67.87,2
3019,30.82,55.05,1
3020,32.61,47.30,3
3021,28.69,47.77,1
3022,22.74,65.71,1
3023,21.37,93.63,3
3024,29.16,71.28,2
3025,31.20,77.62,3
3026,33.05,75.25,2
3027,25.59,94.73,2
3028,28.39,69.99,1
3029,34.61,53.72,3
3030,33.48,73.40,3
3031,20.14,87.65,3
3032,20.97,93.83,2
3033,29.40,81.37,2
3034,16.14,79.42,2
3035,32.28,51.84,3
3036,20.20,89.56,1
3037,25.46,64.34,2
3038,33.34,51.21,2
3039,21.87,70.86,3
3040,24.19,90.73,2
3041,20.92,53.34,1
3042,25.51,51.99,2
3043,31.38,51.15,3
3044,20.42,62.98,3
3045,26.87,60.24,2
3046,25.88,91.71,3
3047,22.23,74.04,1
3048,34.92,73.22,3
3049,26.47,81.07,1
3050,23.43,45.30,2
3051,22.82,44.53,3
3052,21.99,92.70,1
3053,20.77,80.85,3
3054,31.61,49.79,1
3055,31.73,91.14,2
3056,22.81,87.28,3
3057,26.95,56.76,3
3058,19.00,91.61,3
3059,17.91,80.50,3
3060,28.74,91.22,3
3061,20.54,75.61,3
3062,16.25,66.19,1
3063,23.30,53.06,2
3064,15.54,93.49,2
3065,31.15,79.47,2
3066,32.05,44.94,1
3067,17.53,41.91,1
3068,17.72,80.94,1
3069,20.88,64.27,1
3070,34.29,94.44,1
3071,18.87,45.93,1
3072,34.37,53.85,3
3073,32.73,62.50,3
3074,22.15,42.50,1
3075,29.16,60.89,2
3076,19.60,55.64,2
3077,31.62,62.60,1
3078,33.16,53.80,1
3079,20.24,59.47,2
3080,20.64,76.77,3
3081,22.00,42.35,2
3082,22.82,46.84,2
3083,20.55,58.92,3
3084,19.90,59.84,2
3085,28.39,82.24,1
3086,22.61,90.89,3
3087,33.96,94.59,2
3088,33.76,72.45,1
3089,21.31,92.80,3
3090,34.92,58.20,3
3091,29.50,93.47,2
3092,32.21,83.95,2
3093,21.37,80.29,2
3094,17.68,81.47,3
3095,31.18,85.80,1
3096,22.46,42.18,3
3097,23.52,69.19,1
3098,15.86,82.00,3
3099,23.65,60.55,3
3100,18.80,92.38,1
3101,24.60,83.50,3
3102,17.17,71.05,3
3103,21.58,65.33,3
3104,17.43,43.13,3
3105,18.08,50.32,2
3106,25.06,42.89,3
3107,29.82,64.26,3
3108,33.73,79.86,2
3109,32.13,85.19,3
3110,19.45,82.69,2
3111,31.66,82.42,1
3112,15.79,65.73,2
3113,17.64,80.21,3
3114,22.50,82.08,2
3115,17.96,64.18,3
3116,28.11,72.91,3
3117,24.04,79.22,2
3118,20.56,51.69,1
3119,22.66,42.00,3
3120,21.28,64.16,1
3121,32.18,65.17,3
3122,15.24,81.90,3
3123,29.30,90.14,3
3124,27.09,50.07,2
3125,33.19,83.38,2
3126,28.85,72.76,3
3127,31.13,41.72,3
3128,24.98,65.40,3
3129,34.09,58.16,3
3130,18.04,93.84,2
3131,24.09,49.51,1
3132,16.84,70.40,3
3133,31.57,73.43,1
3134,30.89,52.46,3
3135,32.35,78.05,1
3136,18.78,73.36,1
3137,23.25,67.85,2
3138,33.58,70.79,1
3139,22.37,48.92,1
3140,28.76,60.39,1
3141,27.64,61.02,1
3142,22.44,71.90,1
3143,28.28,44.21,1
3144,18.01,68.24,3
3145,17.10,65.30,2
3146,22.53,62.46,3
3147,30.24,87.10,2
3148,31.88,42.86,2
3149,28.15,94.08,3
3150,18.24,71.13,3
3151,34.57,85.03,3
3152,24.69,47.80,3
3153,28.33,79.77,1
3154,31.47,73.01,2
3155,20.40,93.51,1
3156,25.49,41.70,2
3157,30.03,61.62,2
3158,19.70,72.84,2
3159,18.08,72.10,3
3160,20.84,83.91,3
3161,32.43,56.36,2
3162,32.84,84.16,1
3163,23.87,69.79,3
3164,26.07,63.90,3
3165,22.90,87.20,2
3166,20.21,66.17,2
3167,20.53,54.91,1
3168,24.21,61.36,2
3169,20.57,58.05,1
3170,16.74,58.53,3
3171,29.74,74.16,3
3172,28.95,80.67,2
3173,22.16,41.55,1
3174,32.41,55.11,1
3175,18.16,81.14,3
3176,31.28,69.37,1
3177,24.09,49.00,3
3178,18.99,72.06,1
3179,18.17,66.25,1
3180,18.32,76.38,1
3181,24.08,81.49,3
3182,19.86,62.33,1
3183,21.41,47.18,2
3184,29.19,48.34,2
3185,27.09,85.52,1
3186,33.69,53.60,1
3187,16.35,78.08,1
3188,25.29,57.97,2
3189,24.52,67.47,2
3190,22.91,44.86,3
3191,34.76,68.13,2
3192,32.27,48.62,1
3193,24.08,66.19,2
3194,18.26,65.20,2
3195,25.44,88.99,1
3196,25.36,55.93,3
3197,24.76,44.45,1
3198,26.77,42.96,2
3199,23.01,88.87,1
3200,33.66,54.83,1
3201,17.90,82.24,1
3202,27.32,71.25,3
3203,15.48,87.94,2
3204,23.87,93.40,1
3205,21.61,50.72,1
3206,31.44,42.65,1
3207,15.40,91.89,1
3208,28.25,46.37,3
3209,21.54,54.13,3
3210,29.89,63.20,1
3211,27.50,91.92,3
3212,18.78,49.65,2
3213,20.59,43.13,1
3214,20.42,88.70,2
3215,18.89,94.99,1
3216,22.00,79.05,2
3217,23.98,41.45,1
3218,29.58,81.30,1
3219,34.03,83.90,2
3220,20.05,45.19,3
3221,29.05,93.19,3
3222,33.26,83.90,2
3223,33.49,66.50,1
3224,22.12,42.84,1
3225,20.08,77.27,1
3226,22.25,61.04,2
3227,29.87,44.39,3
3228,21.42,63.64,3
3229,19.97,83.79,3
3230,15.28,42.81,2
3231,32.45,93.13,1
3232,27.08,74.25,2
3233,26.49,63.59,3
3234,24.37,40.54,3
3235,29.65,88.36,2
3236,30.06,62.56,3
3237,18.04,50.69,3
3238,31.31,69.04,2
3239,34.12,65.10,1
3240,29.11,45.05,2
3241,24.61,47.20,1
3242,20.48,55.39,2
3243,17.79,46.80,1
3244,27.61,52.66,3
3245,15.76,52.38,3
3246,27.60,58.70,1
3247,23.57,50.41,2
3248,21.40,47.15,1
3249,26.27,64.48,2
3250,34.28,94.66,2
3251,32.73,63.42,3
3252,21.49,76.62,1
3253,34.22,51.76,3
3254,20.52,48.98,3
3255,30.00,52.73,1
3256,23.04,75.07,1
3257,15.90,43.94,2
3258,34.19,44.39,2
3259,28.39,91.70,1
3260,16.57,52.27,3
3261,21.95,82.98,2
3262,22.37,63.83,3
3263,24.94,50.48,3
3264,33.29,70.34,3
3265,17.26,88.50,2
3266,15.06,41.06,2
3267,17.14,65.40,1
3268,20.04,88.03,2
3269,25.79,93.57,1
3270,20.94,43.77,3
3271,31.65,45.78,1
3272,16.78,72.87,3
3273,24.71,69.30,2
3274,33.91,44.82,1
3275,21.95,51.25,2
3276,21.78,85.53,2
3277,17.70,69.09,2
3278,18.99,67.31,3
3279,17.75,66.17,3
3280,15.69,79.01,1
3281,21.46,54.56,1
3282,27.14,71.35,3
3283,24.17,57.65,3
3284,33.96,91.81,1
3285,20.58,85.42,2
3286,19.54,46.34,1
3287,15.25,54.90,2
3288,30.91,69.80,2
3289,24.24,46.46,2
3290,17.60,48.66,1
3291,29.44,54.15,1
3292,15.76,63.30,2
3293,22.29,44.75,1
3294,18.75,56.88,1
3295,15.80,88.85,2
3296,33.59,55.54,3
3297,24.51,83.05,1
3298,23.71,60.93,3
3299,34.44,54.60,3
3300,23.07,88.28,1
3301,27.85,60.48,3
3302,16.28,49.27,2
3303,24.89,65.93,1
3304,33.50,71.03,3
3305,18.26,43.59,1
3306,27.09,60.54,2
3307,24.61,79.80,3
3308,15.65,55.55,1
3309,25.76,45.70,3
3310,26.66,85.61,1
3311,32.67,80.64,2
3312,25.35,92.27,2
3313,31.21,89.63,2
3314,33.90,85.02,2
3315,26.31,78.39,1
3316,30.65,45.46,1
3317,34.91,69.64,2
3318,33.55,61.79,2
3319,29.22,54.82,2
3320,16.15,50.61,2
3321,33.34,76.30,1
3322,22.48,40.29,3
3323,31.54,78.60,3
3324,26.59,65.55,1
3325,17.18,65.86,2
3326,19.76,40.46,3
3327,30.14,57.24,2
3328,29.29,58.36,3
3329,17.46,64.80,1
3330,34.50,80.90,2
3331,31.36,76.89,1
3332,19.71,51.38,3
3333,27.04,75.58,2
3334,18.82,88.19,1
3335,19.68,68.53,2
3336,23.87,80.90,1
3337,30.48,84.25,2
3338,15.63,93.12,1
3339,18.18,68.69,2
3340,33.53,47.71,2
3341,29.94,54.74,2
3342,23.05,50.16,3
3343,15.29,44.22,3
3344,29.88,92.65,3
3345,24.29,67.74,1
3346,15.78,77.54,1
3347,34.82,84.21,1
3348,33.74,82.13,2
3349,19.00,43.37,2
3350,15.48,41.23,3
3351,17.84,50.43,2
3352,28.00,77.12,1
3353,26.60,47.15,3
3354,28.55,87.76,1
3355,29.76,90.13,1
3356,22.83,59.53,1
3357,28.78,80.80,1
3358,26.10,92.88,1
3359,34.17,50.13,1
3360,25.53,48.80,3
3361,26.05,79.15,2
3362,24.54,64.13,1
3363,34.67,57.50,1
3364,26.85,51.99,3
3365,26.59,78.28,3
3366,29.83,63.10,2
3367,26.55,50.75,2
3368,16.03,77.15,1
3369,22.93,49.62,2
3370,16.52,84.86,2
3371,19.37,57.95,2
3372,34.93,57.76,2
3373,26.76,66.04,3
3374,16.40,43.78,1
3375,33.30,66.98,2
3376,16.83,81.50,2
3377,31.05,52.78,2
3378,24.84,81.86,2
3379,19.49,80.68,3
3380,34.26,67.05,1
3381,21.76,86.62,3
3382,29.21,90.26,3
3383,22.81,41.80,2
3384,26.09,41.10,1
3385,34.68,78.70,3
3386,19.27,77.12,1
3387,24.18,59.76,2
3388,32.35,71.61,3
3389,24.24,62.46,2
3390,25.41,49.98,3
3391,31.53,68.41,3
3392,25.86,43.94,1
3393,29.60,44.83,2
3394,25.30,55.41,1
3395,23.66,42.44,3
3396,15.88,94.01,1
3397,26.90,57.55,1
3398,15.85,54.82,2
3399,17.72,53.88,3
3400,31.17,65.59,3
3401,22.62,72.49,2
3402,30.21,61.64,1
3403,29.92,85.68,3
3404,21.21,87.53,3
3405,29.87,82.50,3
3406,16.30,61.93,3
3407,25.40,71.39,3
3408,28.14,50.02,2
3409,24.87,85.11,2
3410,21.92,70.76,1
3411,17.87,78.34,2
3412,17.34,51.50,3
3413,19.59,45.14,3
3414,31.70,63.72,1
3415,20.85,71.59,3
3416,31.41,71.50,2
3417,21.26,50.34,1
3418,25.21,64.86,2
3419,33.62,86.80,3
3420,29.82,76.65,1
3421,26.81,49.37,3
3422,29.00,43.96,3
3423,20.36,94.25,2
3424,24.43,56.95,1
3425,18.61,86.20,2
3426,20.82,61.07,1
3427,19.09,43.09,3
3428,22.98,74.18,1
3429,25.40,87.00,3
3430,27.46,73.93,3
3431,29.21,52.15,2
3432,28.66,83.56,1
3433,33.96,74.80,1
3434,18.46,44.65,3
3435,22.26,66.32,3
3436,29.71,72.22,3
3437,24.49,68.52,1
3438,21.25,70.28,1
3439,28.27,44.89,3
3440,22.48,47.65,2
3441,18.48,78.44,3
3442,28.98,60.63,1
3443,16.46,88.06,3
3444,22.76,47.57,2
3445,31.46,51.50,1
3446,32.02,62.02,3
3447,17.61,43.85,3
3448,15.93,81.88,1
3449,30.21,53.33,1
3450,23.32,48.35,3
3451,28.46,86.58,1
3452,33.57,52.40,1
3453,20.39,59.09,2
3454,15.16,61.44,3
3455,16.83,72.67,2
3456,15.91,81.32,3
3457,28.24,62.76,2
3458,19.48,52.93,1
3459,28.44,43.21,1
3460,34.16,88.47,3
3461,15.62,93.75,1
3462,19.20,42.06,1
3463,25.94,49.85,3
3464,21.30,88.47,3
3465,26.41,94.40,3
3466,16.91,46.89,3
3467,21.61,77.97,3
3468,33.01,78.24,3
3469,33.55,45.99,3
3470,16.91,75.65,2
3471,30.11,80.56,1
3472,15.13,66.12,1
3473,19.54,58.54,1
3474,33.01,65.57,2
3475,20.81,83.95,1
3476,22.00,83.79,1
3477,15.44,70.71,1
3478,33.68,48.01,2
3479,21.86,82.04,1
3480,19.03,56.80,1
3481,24.74,41.49,2
3482,26.70,44.42,1
3483,23.77,67.66,1
3484,21.96,57.07,3
3485,22.85,74.71,3
3486,21.16,94.40,2
3487,32.41,77.38,1
3488,27.81,53.17,3
3489,26.21,89.87,1
3490,28.80,56.56,3
3491,24.01,47.93,1
3492,18.95,54.02,2
3493,19.01,50.92,2
3494,22.76,44.49,2
3495,26.91,89.12,2
3496,22.76,59.47,3
3497,22.07,58.75,1
3498,30.90,86.42,2
3499,31.44,87.40,3
3500,27.08,69.87,3
3501,24.14,48.70,2
3502,18.24,41.05,3
3503,15.63,47.76,1
3504,30.30,78.37,2
3505,26.88,40.74,3
3506,20.06,62.86,2
3507,30.95,91.49,1
3508,27.46,42.42,1
3509,25.62,70.16,2
3510,26.27,60.28,2
3511,19.13,94.50,1
3512,27.28,41.74,1
3513,29.59,58.13,2
3514,26.26,92.05,2
3515,21.85,40.75,3
3516,30.29,42.66,3
3517,22.54,45.17,3
3518,33.66,79.59,1
3519,18.51,64.13,2
3520,26.43,45.38,3
3521,15.32,63.87,1
3522,32.06,53.35,3
3523,34.72,75.81,1
3524,20.81,47.18,3
3525,19.20,69.79,3
3526,29.48,91.84,2
3527,23.06,76.09,3
3528,30.84,83.92,1
3529,15.79,51.14,2
3530,28.98,54.68,3
3531,18.86,75.28,3
3532,24.77,70.38,2
3533,32.50,62.59,3
3534,28.75,50.48,1
3535,26.46,88.80,2
3536,28.83,52.55,1
3537,17.50,78.38,2
3538,30.54,93.40,2
3539,16.23,92.50,2
3540,18.55,77.34,3
3541,15.00,62.21,3
3542,15.76,63.48,1
3543,32.42,82.84,2
3544,20.60,55.98,3
3545,15.32,63.48,1
