Edad conductor,Experiencia conductor,Accidentes previos,Kilometraje anual,Fabricacion coche,Edad coche,Seguro Premium,Sexo
45,26,2,25,2002,23,489.75,Hombre
58,16,2,14,2018,7,488.0,Hombre
65,2,2,11,2021,4,490.35,Hombre
42,24,2,21,2014,11,489.55,Hombre
27,9,2,23,1997,28,498.85,Mujer
47,21,2,25,1998,27,491.25,Mujer
43,25,2,13,1995,30,490.55,Hombre
30,12,2,24,2012,13,495.9,Mujer
45,23,2,19,2000,25,490.55,Mujer
22,4,2,25,1997,28,501.45,Hombre
27,9,2,17,2005,20,497.75,Mujer
36,18,2,17,2015,10,492.25,Mujer
38,20,2,11,2001,24,492.35,Mujer
26,8,2,19,2012,13,497.65,Mujer
62,12,2,25,1992,33,491.55,Hombre
18,0,2,17,2004,21,502.35,Hombre
32,2,2,16,2018,7,497.5,Hombre
27,9,2,23,2021,4,496.45,Hombre
37,17,2,22,2024,1,491.7,Hombre
30,2,2,24,2000,25,500.1,Hombre
65,34,2,17,2019,6,481.25,Mujer
20,2,2,15,1994,31,502.25,Mujer
46,28,2,19,2014,11,487.45,Mujer
49,31,2,19,1993,32,488.05,Hombre
26,8,2,18,2000,25,498.8,Hombre
40,22,2,21,2001,24,491.85,Mujer
31,13,2,25,2009,16,495.75,Mujer
20,2,2,20,2004,21,501.5,Hombre
64,9,2,23,2001,24,491.05,Mujer
56,11,2,19,1997,28,492.25,Mujer
42,5,2,12,1996,29,496.6,Mujer
62,36,2,25,1998,27,483.75,Hombre
64,0,2,11,2020,5,491.25,Hombre
51,5,2,18,2004,21,494.3,Mujer
64,36,2,22,2020,5,481.0,Hombre
57,32,2,15,2009,16,484.35,Mujer
61,13,2,11,2001,24,489.85,Hombre
47,28,2,15,2000,25,488.45,Hombre
47,29,2,18,2018,7,486.5,Hombre
48,4,2,22,2019,6,493.9,Hombre
26,8,2,11,2017,8,496.75,Mujer
48,25,2,14,1993,32,489.8,Hombre
32,3,2,15,2020,5,496.95,Mujer
55,18,2,22,2021,4,488.1,Hombre
37,19,2,12,2002,23,492.8,Mujer
36,18,1,19,2000,25,492.35,Mujer
20,2,1,23,1997,28,500.85,Hombre
39,21,1,22,1996,29,491.4,Mujer
44,14,1,25,1999,26,492.35,Hombre
56,34,1,20,1992,33,484.4,Mujer
26,8,1,24,2014,11,496.2,Mujer
43,7,1,11,2025,0,491.35,Mujer
24,6,1,19,2005,20,497.85,Hombre
61,34,1,13,2006,19,481.65,Hombre
34,13,1,19,2023,2,491.95,Mujer
19,1,1,15,2021,4,498.55,Hombre
61,31,1,11,2025,0,480.55,Hombre
43,7,1,17,2023,2,491.85,Mujer
41,23,1,13,2009,16,488.65,Hombre
25,3,1,15,2021,4,496.75,Hombre
41,21,1,24,2017,8,489.0,Mujer
52,9,1,22,1996,29,492.4,Mujer
56,35,1,22,2000,25,483.4,Mujer
24,6,1,12,1993,32,498.7,Hombre
25,4,1,11,2017,8,496.65,Hombre
61,25,1,24,2022,3,483.3,Mujer
31,7,1,24,2007,18,496.2,Mujer
18,0,1,24,1999,26,501.7,Hombre
22,4,1,21,2002,23,499.25,Hombre
56,38,1,19,1992,33,483.15,Hombre
26,8,1,18,1995,30,497.8,Hombre
59,35,1,17,2006,19,481.95,Hombre
49,7,1,24,2020,5,491.3,Hombre
47,29,1,13,1995,30,487.05,Mujer
56,13,1,19,2024,1,487.45,Hombre
32,14,1,14,2001,24,494.0,Hombre
49,31,1,19,2012,13,484.65,Hombre
45,8,1,24,1991,34,494.7,Hombre
56,10,1,24,2019,6,489.1,Mujer
44,6,1,18,2009,16,493.4,Hombre
58,26,1,19,2011,14,484.45,Hombre
61,28,1,14,1991,34,485.0,Hombre
32,14,1,14,2016,9,492.5,Mujer
50,18,1,22,2009,16,488.8,Mujer
23,5,1,15,2003,22,498.35,Mujer
55,1,1,22,2016,9,492.2,Hombre
23,3,1,19,1990,35,500.45,Hombre
28,7,1,19,2009,16,496.35,Mujer
26,8,1,12,1994,31,497.6,Mujer
37,19,1,17,2018,7,489.95,Mujer
37,7,1,24,2001,24,495.6,Mujer
65,6,1,22,2016,9,488.7,Hombre
58,18,1,18,1993,32,488.6,Hombre
20,1,1,11,1994,31,500.85,Hombre
41,4,1,17,1995,30,495.95,Mujer
28,1,1,16,2010,15,497.9,Mujer
52,8,1,18,2002,23,491.9,Hombre
46,28,1,22,2019,6,485.6,Hombre
50,16,1,24,1997,28,490.7,Mujer
31,13,1,14,1999,26,494.7,Mujer
65,24,1,11,2023,2,482.05,Mujer
20,2,1,11,2021,4,497.85,Hombre
55,35,1,17,2006,19,482.75,Hombre
25,7,1,15,1991,34,498.55,Hombre
44,16,1,24,2021,4,489.5,Hombre
47,29,1,16,2012,13,485.5,Mujer
50,11,1,24,2006,19,491.3,Mujer
64,21,1,19,2018,7,484.05,Hombre
48,20,1,25,2024,1,487.25,Hombre
50,32,1,23,2022,3,483.35,Hombre
57,35,1,22,1994,31,483.8,Hombre
19,1,1,20,2001,24,500.8,Mujer
57,0,1,17,1993,32,494.15,Hombre
50,24,1,24,2012,13,486.8,Hombre
60,24,1,25,2011,14,484.95,Hombre
46,2,1,25,2003,22,495.15,Hombre
42,24,1,12,2019,6,487.1,Mujer
23,5,1,19,2007,18,498.15,Mujer
33,15,1,15,1991,34,494.55,Hombre
30,12,1,12,1995,30,495.5,Hombre
36,17,1,18,2015,10,491.1,Mujer
45,27,1,12,2009,16,486.6,Mujer
40,22,1,22,1992,33,491.3,Mujer
18,0,1,25,2018,7,499.85,Mujer
22,4,1,17,2009,16,498.35,Mujer
20,1,1,16,2024,1,498.1,Hombre
31,13,1,13,2004,21,494.15,Hombre
22,4,1,17,1999,26,499.35,Mujer
43,25,1,12,1993,32,489.2,Hombre
53,29,1,22,2014,11,484.4,Hombre
50,2,1,25,1999,26,494.75,Mujer
47,13,1,19,2004,21,491.25,Mujer
53,24,1,20,2023,2,484.9,Mujer
60,33,1,20,2017,8,481.4,Hombre
46,19,1,21,2009,16,489.25,Hombre
19,1,1,18,2023,2,498.5,Hombre
46,8,1,11,2007,18,492.25,Hombre
43,3,1,25,2019,6,493.85,Mujer
53,2,1,13,1997,28,493.75,Hombre
38,20,1,23,1998,27,491.75,Mujer
53,11,1,14,1995,30,491.3,Mujer
52,4,1,21,2007,18,492.75,Mujer
56,37,1,16,2017,8,480.8,Hombre
41,4,1,23,2023,2,493.45,Mujer
49,17,1,15,2000,25,489.85,Hombre
52,12,1,15,1993,32,491.45,Hombre
47,29,1,22,2004,21,486.6,Mujer
29,11,1,21,1992,33,496.75,Mujer
48,30,1,23,1994,31,487.15,Mujer
22,4,1,23,1995,30,500.05,Mujer
52,12,1,13,2024,1,488.25,Mujer
35,17,1,25,2001,24,493.05,Mujer
46,28,1,21,2019,6,485.55,Mujer
54,27,1,14,2011,14,484.7,Hombre
34,16,1,16,2023,2,490.9,Hombre
24,6,1,19,1998,27,498.55,Hombre
21,3,1,13,2003,22,499.25,Hombre
61,0,1,22,1997,28,493.2,Mujer
20,2,1,25,1990,35,501.65,Mujer
62,34,1,21,2018,7,480.65,Mujer
30,11,1,15,2023,2,493.15,Mujer
18,0,1,16,2013,12,499.9,Hombre
62,34,1,14,1990,35,483.1,Hombre
33,15,1,16,2018,7,491.9,Hombre
54,31,1,13,2005,20,484.05,Mujer
64,26,1,25,2011,14,483.55,Hombre
25,7,1,13,2021,4,495.45,Mujer
45,24,1,15,2001,24,488.45,Mujer
45,11,1,21,2004,21,492.35,Mujer
50,6,1,19,2003,22,492.85,Mujer
35,6,1,25,2020,5,494.45,Mujer
51,24,1,22,1992,33,488.5,Mujer
65,10,1,18,2001,24,488.8,Hombre
23,5,1,24,2002,23,498.9,Mujer
31,1,1,14,2015,10,496.7,Mujer
18,0,1,11,2021,4,498.85,Hombre
45,1,1,19,2010,15,494.65,Mujer
43,14,1,13,1996,29,492.25,Hombre
29,10,1,18,2004,21,495.7,Mujer
55,3,1,23,2004,21,492.85,Hombre
55,10,1,11,2007,18,489.85,Mujer
41,11,1,12,1997,28,493.4,Mujer
27,9,1,25,1992,33,497.95,Hombre
34,5,1,25,2016,9,495.35,Hombre
23,5,1,18,2002,23,498.6,Hombre
60,9,1,24,2000,25,490.5,Mujer
40,22,1,23,2020,5,488.55,Mujer
33,6,1,17,2003,22,496.15,Mujer
21,3,1,19,2004,21,499.45,Mujer
21,3,1,15,1992,33,500.45,Mujer
49,19,1,13,2010,15,488.15,Mujer
38,20,1,20,2012,13,490.2,Hombre
22,4,1,16,2023,2,496.9,Hombre
43,7,1,24,2009,16,493.6,Mujer
44,26,1,15,2003,22,487.85,Hombre
47,4,1,14,2007,18,493.4,Mujer
43,25,1,18,1994,31,489.4,Mujer
18,0,1,22,2014,11,500.1,Hombre
32,5,1,24,2008,17,496.5,Hombre
31,13,1,18,1993,32,495.5,Mujer
43,1,1,12,1990,35,496.7,Mujer
45,27,1,25,2004,21,487.75,Hombre
24,6,1,11,2022,3,495.75,Mujer
64,9,1,16,2017,8,487.6,Hombre
39,21,1,21,1997,28,491.25,Hombre
61,36,1,11,2015,10,480.05,Mujer
34,16,1,13,2006,19,492.45,Mujer
20,1,1,14,2012,13,499.2,Hombre
39,21,1,16,1997,28,491.0,Mujer
59,19,1,17,2019,6,485.45,Hombre
50,19,1,20,1999,26,489.4,Hombre
39,21,1,25,2021,4,489.05,Hombre
21,3,1,23,2012,13,498.85,Hombre
41,21,1,21,1999,26,490.65,Hombre
22,1,1,19,2020,5,498.25,Mujer
36,18,1,23,2011,14,491.45,Mujer
46,19,0,21,2025,0,486.15,Hombre
25,7,0,13,2005,20,495.55,Hombre
41,1,0,19,2007,18,494.25,Hombre
19,1,0,16,2010,15,498.2,Hombre
29,8,0,22,2025,0,492.9,Mujer
61,8,0,21,2024,1,486.55,Mujer
64,30,0,18,2011,14,480.5,Hombre
61,4,0,12,2006,19,489.1,Hombre
20,2,0,16,2025,0,496.2,Mujer
54,10,0,13,2003,22,489.05,Hombre
37,19,0,13,1990,35,491.05,Hombre
53,25,0,17,1995,30,485.75,Mujer
31,1,0,25,2012,13,496.05,Mujer
28,1,0,14,2011,14,496.2,Mujer
52,32,0,11,2015,10,481.55,Hombre
45,14,0,25,1997,28,490.85,Mujer
41,23,0,21,1994,31,489.05,Mujer
64,5,0,13,2011,14,487.75,Hombre
20,2,0,25,2003,22,498.85,Mujer
43,25,0,14,2020,5,485.1,Mujer
44,17,0,18,2019,6,487.6,Hombre
21,3,0,13,2017,8,496.35,Hombre
62,39,0,22,2015,10,478.0,Hombre
46,10,0,17,2014,11,489.75,Mujer
24,6,0,21,2007,18,496.25,Mujer
45,27,0,17,1995,30,486.75,Hombre
61,8,0,18,2023,2,486.5,Hombre
28,10,0,14,2019,6,492.7,Hombre
42,24,0,11,2025,0,484.95,Mujer
23,5,0,15,1998,27,497.35,Mujer
25,7,0,13,1999,26,496.15,Mujer
29,11,0,23,2002,23,494.35,Mujer
20,2,0,19,1998,27,499.05,Hombre
54,27,0,18,2016,9,482.9,Mujer
19,0,0,17,2021,4,497.45,Mujer
54,29,0,11,1996,29,483.95,Hombre
33,15,0,13,1999,26,492.15,Hombre
36,18,0,22,2024,1,488.6,Hombre
58,23,0,19,1996,29,485.35,Hombre
57,7,0,20,2015,10,488.5,Mujer
52,15,0,14,2016,9,486.7,Hombre
24,3,0,17,1993,32,498.35,Mujer
29,9,0,23,2025,0,492.65,Hombre
33,15,0,19,2012,13,491.15,Mujer
50,19,0,16,1999,26,487.7,Mujer
53,22,0,12,1992,33,486.7,Mujer
55,11,0,11,2011,14,487.65,Hombre
57,19,0,23,1993,32,487.25,Mujer
50,8,0,23,2020,5,489.25,Hombre
63,5,0,22,1990,35,490.5,Hombre
45,22,0,19,2023,2,485.55,Mujer
50,20,0,18,1998,27,487.6,Hombre
36,5,0,19,1995,30,495.25,Mujer
34,16,0,15,2006,19,491.05,Mujer
58,1,0,21,2021,4,489.55,Mujer
41,23,0,13,1993,32,488.75,Mujer
49,31,0,18,2023,2,482.0,Mujer
26,8,0,23,1991,34,496.95,Mujer
43,25,0,12,2005,20,486.5,Mujer
42,24,0,12,2007,18,486.8,Mujer
24,6,0,11,2022,3,494.25,Mujer
63,18,0,25,2006,19,485.15,Mujer
29,11,0,14,1994,31,494.7,Hombre
47,29,0,16,2017,8,483.5,Hombre
18,0,0,17,2024,1,497.35,Hombre
51,25,0,25,1991,34,486.95,Hombre
43,25,0,15,2019,6,485.25,Mujer
47,28,0,15,2022,3,483.25,Hombre
63,28,0,16,2021,4,480.2,Hombre
22,4,0,20,1995,30,498.4,Hombre
29,9,0,24,2025,0,492.7,Hombre
33,15,0,22,1991,34,493.4,Hombre
43,24,0,22,2018,7,486.0,Hombre
56,0,0,22,2015,10,490.9,Mujer
27,8,0,16,2017,8,493.8,Hombre
36,14,0,14,1990,35,492.8,Hombre
33,5,0,18,1990,35,496.3,Hombre
19,1,0,17,1998,27,499.45,Mujer
49,31,0,15,2021,4,482.05,Hombre
29,7,0,25,2016,9,494.25,Hombre
34,16,0,18,2022,3,489.6,Hombre
43,12,0,22,2000,25,491.4,Hombre
25,7,0,16,2005,20,495.7,Hombre
43,25,0,11,2007,18,486.25,Mujer
62,27,0,18,1999,26,483.0,Mujer
28,10,0,18,1990,35,495.8,Hombre
46,8,0,21,2016,9,490.35,Hombre
40,22,0,25,2011,14,488.05,Hombre
54,5,0,24,2002,23,491.2,Mujer
29,11,0,20,1993,32,495.1,Mujer
58,16,0,20,2017,8,485.4,Mujer
29,11,0,11,2017,8,492.25,Hombre
24,6,0,24,2008,17,496.3,Mujer
31,13,0,11,1993,32,493.65,Mujer
62,38,0,17,2025,0,477.05,Hombre
24,6,0,11,2012,13,495.25,Hombre
19,1,0,25,1995,30,500.15,Hombre
55,14,0,13,2022,3,485.75,Hombre
62,21,0,22,2003,22,484.6,Hombre
62,26,0,20,2000,25,483.3,Hombre
56,21,0,15,1998,27,485.95,Hombre
27,9,0,15,2022,3,492.95,Mujer
45,10,0,16,2023,2,489.0,Mujer
56,14,0,22,2018,7,486.4,Mujer
30,12,0,16,2006,19,493.1,Hombre
18,0,0,21,2008,17,499.15,Hombre
40,19,0,18,2004,21,489.3,Mujer
45,7,0,25,2004,21,492.25,Mujer
52,29,0,18,1998,27,484.5,Hombre
23,5,0,13,2017,8,495.35,Mujer
64,19,0,13,2004,21,484.25,Hombre
62,1,0,24,2021,4,488.9,Mujer
35,12,0,12,2018,7,490.7,Hombre
49,16,0,16,1996,29,489.1,Hombre
50,10,0,15,2020,5,488.25,Hombre
52,34,0,19,2015,10,481.35,Hombre
48,11,0,13,1991,34,491.15,Mujer
54,19,0,18,2004,21,486.5,Hombre
49,21,0,15,2021,4,485.05,Hombre
61,5,0,19,1993,32,490.45,Mujer
22,4,0,12,2021,4,495.4,Hombre
34,16,0,14,2013,12,490.3,Hombre
38,7,0,18,1997,28,494.0,Hombre
19,1,0,24,2011,14,498.5,Hombre
32,14,0,20,2000,25,492.9,Mujer
22,4,0,12,2001,24,497.4,Mujer
41,18,0,12,2020,5,487.5,Mujer
19,1,0,17,2024,1,496.85,Hombre
33,15,0,11,2025,0,489.45,Mujer
44,26,0,13,2008,17,485.75,Mujer
36,18,0,16,2018,7,488.9,Mujer
35,14,0,17,1999,26,492.25,Mujer
59,35,0,24,2009,16,480.5,Mujer
39,5,0,20,2008,17,493.4,Hombre
58,39,0,14,2017,8,478.2,Mujer
43,14,0,12,1994,31,490.9,Mujer
63,32,0,24,2010,15,480.5,Hombre
43,13,0,25,2021,4,489.15,Mujer
39,1,0,24,2007,18,494.9,Hombre
64,36,0,25,2016,9,478.55,Mujer
53,24,0,12,2012,13,484.1,Hombre
39,21,0,12,1996,29,489.4,Hombre
40,2,0,20,2009,16,494.0,Hombre
56,19,0,22,2009,16,485.8,Hombre
42,11,0,21,2019,6,489.95,Mujer
30,12,0,19,2009,16,492.95,Hombre
27,9,0,14,2016,9,493.5,Mujer
53,28,0,13,2006,19,483.55,Hombre
23,5,0,11,2000,25,496.95,Hombre
23,5,0,18,2009,16,496.4,Hombre
48,25,0,25,2002,23,486.45,Mujer
54,29,0,24,2025,0,481.7,Mujer
23,5,0,16,2000,25,497.2,Hombre
32,14,0,13,1999,26,492.65,Hombre
